N_new_neg,N_new_pos,N_orig_neg,N_orig_pos,Search,method,w,w_new_neg,w_new_pos,w_orig_neg,w_orig_pos
252.0,247.0,506,506,fish_neotropic,4.0,1.0,3.0198412698412698,1.0,0.0,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.0,0.0,1.0,1.5147347740667976,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.1,0.29427480916030535,1.0,1.3632612966601179,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.2,0.5885496183206107,1.0,1.2117878192534381,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.3,0.8828244274809159,1.0,1.0603143418467582,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.4,1.1770992366412214,1.0,0.9088408644400785,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.5,1.4713740458015268,1.0,0.7573673870333988,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.6,1.7656488549618319,1.0,0.6058939096267191,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.7,2.0599236641221372,1.0,0.45442043222003936,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.8,2.354198473282443,1.0,0.3029469548133594,1.0
262.0,238.0,506,506,bird_antarctic,4.0,0.9,2.648473282442748,1.0,0.1514734774066797,1.0
262.0,238.0,506,506,bird_antarctic,4.0,1.0,2.9427480916030535,1.0,0.0,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.0,0.0,1.0,1.5166994106090372,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.1,0.2935361216730038,1.0,1.3650294695481338,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.2,0.5870722433460076,1.0,1.2133595284872298,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.3,0.8806083650190114,1.0,1.0616895874263261,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.4,1.1741444866920152,1.0,0.9100196463654224,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.5,1.467680608365019,1.0,0.7583497053045186,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.6,1.7612167300380228,1.0,0.6066797642436149,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.7,2.0547528517110267,1.0,0.45500982318271127,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.8,2.3482889733840304,1.0,0.3033398821218074,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,0.9,2.6418250950570346,1.0,0.1516699410609037,1.0
263.0,244.0,506,506,mammal_oceanic,4.0,1.0,2.935361216730038,1.0,0.0,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.0,0.0,1.0,1.49901768172888,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.1,0.3003937007874016,1.0,1.3491159135559923,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.2,0.6007874015748031,1.0,1.199214145383104,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.3,0.9011811023622047,1.0,1.0493123772102162,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.4,1.2015748031496063,1.0,0.8994106090373282,1.0
254.0,251.0,506,506,amphib_neotropic,4.0,0.5,1.5019685039370079,1.0,0.74950884086444,1.0
